"featureid","totalObs","meanMaxTemp","maxMaxTemp","meanDays.18","meanDays.20","meanDays.22","yearsMaxTemp.18","freqMax.18","yearsMaxTemp.20","freqMax.20","yearsMaxTemp.22","freqMax.22","meanResist","meanRMSE","flag"
750140,0,21.8203253818192,23.6087682991422,60,17,3,34,1,34,1,14,0.411764705882353,119.728261845171,NA,NA
750141,0,21.542682418489,23.4265097935521,56,14,2,34,1,34,1,11,0.323529411764706,106.850217161684,NA,NA
750142,0,21.1417272829802,22.6645215738521,42,8,1,34,1,31,0.911764705882353,5,0.147058823529412,198.171384383864,NA,NA
750143,0,1237.9296778639,1239.21341532997,222,222,222,34,1,34,1,34,1,112015.565725817,NA,NA
750144,0,21.3419650124951,22.7133239684466,46,10,1,34,1,32,0.941176470588235,7,0.205882352941176,154.361398368222,NA,NA
750145,0,27.7881772320542,29.1082873038248,144,118,94,34,1,34,1,34,1,687.969247298758,NA,NA
750146,0,20.5107899991155,21.8943166084933,34,4,0,34,1,26,0.764705882352941,0,0,140.413194282032,NA,NA
750147,0,27.2046428261552,28.5989881578418,139,116,86,34,1,34,1,34,1,497.380674483473,NA,NA
750148,0,20.6753019118147,22.7720774553382,42,6,2,34,1,27,0.794117647058823,1,0.0294117647058824,95.8681767213134,NA,NA
750149,0,21.8153724409939,23.1389071065487,58,17,2,34,1,34,1,16,0.470588235294118,215.590248184555,NA,NA
750150,0,21.215871175454,23.0398714783645,50,10,2,34,1,32,0.941176470588235,6,0.176470588235294,113.10421624992,NA,NA
750151,0,21.015301477141,22.6784227301467,42,7,1,34,1,32,0.941176470588235,4,0.117647058823529,112.870907737146,NA,NA
750152,0,19.9064541430404,21.046494344788,23,3,0,34,1,16,0.470588235294118,0,0,143.777179681857,NA,NA
750153,0,21.6453211453912,23.0783079167742,56,16,2,34,1,33,0.970588235294118,9,0.264705882352941,179.638342381608,NA,NA
750154,0,20.2267201697671,21.498516991229,25,3,0,34,1,23,0.676470588235294,0,0,140.044399630035,NA,NA
750155,0,21.1369241862255,22.524568630662,48,10,1,34,1,32,0.941176470588235,5,0.147058823529412,128.040581012643,NA,NA
750156,0,21.4508014997117,22.8524874841274,53,14,2,34,1,32,0.941176470588235,7,0.205882352941176,125.575494826795,NA,NA
750157,0,20.215413520876,21.7934641987201,30,5,0,34,1,21,0.617647058823529,0,0,143.789737278079,NA,NA
750158,0,21.4726715941542,23.2425101303016,52,13,2,34,1,33,0.970588235294118,9,0.264705882352941,105.935060393801,NA,NA
750159,0,226.081316436872,228.105001177527,222,222,222,34,1,34,1,34,1,18905.2264684056,NA,NA
750160,0,231.199248717395,233.266036404304,222,222,222,34,1,34,1,34,1,19383.6172325437,NA,NA
750161,0,20.743761445364,22.2346457427122,42,7,1,34,1,29,0.852941176470588,1,0.0294117647058824,136.769552741966,NA,NA
750162,0,21.6735823476991,23.1141251179401,62,20,2,34,1,33,0.970588235294118,13,0.382352941176471,140.496466475938,NA,NA
750163,0,196.397892540638,197.900917870593,222,222,222,34,1,34,1,34,1,16055.5959938081,NA,NA
750164,0,23.6318558996703,25.1433811505005,95,60,16,34,1,34,1,33,0.970588235294118,183.542757456894,NA,NA
750166,0,21.7430749001539,23.1579789132498,60,18,2,34,1,33,0.970588235294118,14,0.411764705882353,131.693734605229,NA,NA
750167,0,21.9894498349065,23.2919018665557,68,23,4,34,1,34,1,17,0.5,138.675051358039,NA,NA
750168,0,1249.81979774871,1250.99749595106,222,222,222,34,1,34,1,34,1,113093.04303968,NA,NA
750169,0,28.2342256770969,29.5064107714606,150,126,101,34,1,34,1,34,1,708.278548361205,NA,NA
750170,0,20.8766668186515,22.3701817093913,44,8,1,34,1,30,0.882352941176471,1,0.0294117647058824,143.845363083301,NA,NA
